央卫HUB,#genre#
CCTV2-财经,http://60.26.16.53:85/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://27.12.12.227:9998/udp/225.0.4.132:7980
CCTV2-财经,http://27.12.12.227:9998/udp/225.0.4.2:7980
CCTV2-财经,http://183.188.22.54:6000/rtp/226.0.2.154:9144
CCTV2-财经,http://183.188.22.54:6000/rtp/226.0.2.19:8064
CCTV2-财经,http://27.8.236.24:8008/udp/225.0.4.132:7980
CCTV2-财经,http://27.8.236.24:8008/udp/225.0.4.2:7980
CCTV2-财经,http://123.118.171.46:6688/rtp/239.3.1.60:8084
CCTV2-财经,http://118.79.19.202:6000/rtp/226.0.2.154:9144
CCTV2-财经,http://118.79.19.202:6000/rtp/226.0.2.19:8064
CCTV2-财经,http://111.167.32.120:5002/udp/225.1.1.133:5002
CCTV2-财经,http://121.29.215.146:2083/rtp/239.253.92.190:6065
CCTV2-财经,http://121.19.134.216:808/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://123.14.82.237:9003/hls/3/index.m3u8
CCTV3-综艺,http://157.0.89.207:9003/hls/3/index.m3u8
CCTV3-综艺,http://116.147.109.239:9003/hls/3/index.m3u8
CCTV3-综艺,http://183.188.22.239:6000/rtp/226.0.2.208:9576
CCTV3-综艺,http://183.188.22.239:6000/rtp/226.0.2.20:8072
CCTV3-综艺,http://1.30.247.80:8686/udp/239.125.2.52:4120
CCTV3-综艺,http://112.195.88.126:5000/rtp/239.0.0.12:5140
CCTV3-综艺,http://39.80.175.0:85/tsfile/live/2003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://123.129.70.178:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://113.201.61.98:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3-综艺,http://183.186.68.206:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://119.49.182.4:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://60.223.72.98:8003/rtp/226.0.2.208:9576
CCTV3-综艺,http://60.223.72.98:8003/rtp/226.0.2.20:8072
CCTV3-综艺,http://123.139.57.170:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3-综艺,http://home.yulei.online:9999/rtp/226.0.2.208:9576
CCTV3-综艺,http://home.yulei.online:9999/rtp/226.0.2.20:8072
CCTV3-综艺,http://iptv.zhangliang.cc:8012/udp/225.0.4.142:7980
CCTV3-综艺,http://iptv.zhangliang.cc:8012/udp/225.0.4.138:7980
CCTV3-综艺,http://27.15.245.77:10000/udp/225.0.4.142:7980
CCTV3-综艺,http://27.15.245.77:10000/udp/225.0.4.138:7980
CCTV3-综艺,http://123.12.186.252:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://116.179.125.231:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://116.179.93.169:8082/rtp/226.0.2.208:9576
CCTV3-综艺,http://116.179.93.169:8082/rtp/226.0.2.20:8072
CCTV3-综艺,http://101.204.85.200:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://182.122.120.175:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://139.208.232.162:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://60.223.72.185:8002/rtp/226.0.2.208:9576
CCTV3-综艺,http://60.223.72.185:8002/rtp/226.0.2.20:8072
CCTV3-综艺,http://27.11.57.209:8002/udp/225.0.4.142:7980
CCTV3-综艺,http://27.11.57.209:8002/udp/225.0.4.138:7980
CCTV3-综艺,http://183.184.47.157:8001/rtp/226.0.2.208:9576
CCTV3-综艺,http://183.184.47.157:8001/rtp/226.0.2.20:8072
CCTV3-综艺,http://60.26.12.157:85/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://125.43.241.91:85/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://27.8.236.98:8001/udp/225.0.4.142:7980
CCTV3-综艺,http://27.8.236.98:8001/udp/225.0.4.138:7980
CCTV3-综艺,http://183.184.6.224:8001/rtp/226.0.2.208:9576
CCTV3-综艺,http://183.184.6.224:8001/rtp/226.0.2.20:8072
CCTV3-综艺,http://116.138.241.240:9006/rtp/232.0.0.170:1234
CCTV3-综艺,http://121.19.134.146:808/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://139.227.221.241:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://27.9.189.66:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://112.226.228.106:22222/udp/239.253.254.191:8000
CCTV3-综艺,http://27.11.48.253:8002/udp/225.0.4.142:7980
CCTV3-综艺,http://27.11.48.253:8002/udp/225.0.4.138:7980
CCTV3-综艺,http://171.127.237.211:8084/rtp/226.0.2.208:9576
CCTV3-综艺,http://171.127.237.211:8084/rtp/226.0.2.20:8072
CCTV3-综艺,http://27.10.214.7:8002/udp/225.0.4.142:7980
CCTV3-综艺,http://27.10.214.7:8002/udp/225.0.4.138:7980
CCTV3-综艺,http://27.12.234.98:8001/udp/225.0.4.142:7980
CCTV3-综艺,http://27.12.234.98:8001/udp/225.0.4.138:7980
CCTV3-综艺,http://183.191.50.247:9003/hls/3/index.m3u8
CCTV3-综艺,http://171.116.254.184:9003/hls/3/index.m3u8
CCTV3-综艺,http://60.8.75.178:9002/hls/3/index.m3u8
CCTV3-综艺,http://116.117.106.71:4022/udp/239.125.2.52:4120
CCTV3-综艺,http://112.226.107.85:4000/udp/239.253.254.191:8000
CCTV3-综艺,http://124.165.251.82:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://60.26.16.53:85/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://27.12.12.227:9998/udp/225.0.4.142:7980
CCTV3-综艺,http://27.12.12.227:9998/udp/225.0.4.138:7980
CCTV3-综艺,http://183.188.22.54:6000/rtp/226.0.2.208:9576
CCTV3-综艺,http://183.188.22.54:6000/rtp/226.0.2.20:8072
CCTV3-综艺,http://27.8.236.24:8008/udp/225.0.4.142:7980
CCTV3-综艺,http://27.8.236.24:8008/udp/225.0.4.138:7980
CCTV3-综艺,http://123.118.171.46:6688/rtp/239.3.1.172:8001
CCTV3-综艺,http://118.79.19.202:6000/rtp/226.0.2.208:9576
CCTV3-综艺,http://118.79.19.202:6000/rtp/226.0.2.20:8072
CCTV3-综艺,http://111.167.32.120:5002/udp/225.1.1.158:5002
CCTV3-综艺,http://121.29.215.146:2083/rtp/239.253.92.191:6057
CCTV3-综艺,http://121.19.134.216:808/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://123.14.82.237:9003/hls/4/index.m3u8
CCTV4-国际,http://157.0.89.207:9003/hls/4/index.m3u8
CCTV4-国际,http://116.147.109.239:9003/hls/4/index.m3u8
CCTV4-国际,http://183.188.22.239:6000/rtp/226.0.2.156:9160
CCTV4-国际,http://183.188.22.239:6000/rtp/226.0.2.21:8080
CCTV4-国际,http://1.30.247.80:8686/udp/239.125.1.214:4120
CCTV4-国际,http://1.30.247.80:8686/udp/239.125.2.64:4120
CCTV4-国际,http://1.30.247.80:8686/udp/239.125.1.141:4130
CCTV4-国际,http://1.30.247.80:8686/udp/239.125.2.197:4120
CCTV4-国际,http://1.30.247.80:8686/udp/239.125.2.196:4120
CCTV4-国际,http://112.195.88.126:5000/rtp/239.0.0.13:5140
CCTV4-国际,http://112.195.88.126:5000/rtp/239.0.0.184:5140
CCTV4-国际,http://39.80.175.0:85/tsfile/live/2004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://123.129.70.178:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://183.186.68.206:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://119.49.182.4:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://60.223.72.98:8003/rtp/226.0.2.156:9160
CCTV4-国际,http://60.223.72.98:8003/rtp/226.0.2.21:8080
CCTV4-国际,http://123.139.57.170:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4-国际,http://home.yulei.online:9999/rtp/226.0.2.156:9160
CCTV4-国际,http://home.yulei.online:9999/rtp/226.0.2.21:8080
CCTV4-国际,http://iptv.zhangliang.cc:8012/udp/225.0.4.176:7980
CCTV4-国际,http://iptv.zhangliang.cc:8012/udp/225.0.4.3:7980
CCTV4-国际,http://27.15.245.77:10000/udp/225.0.4.176:7980
CCTV4-国际,http://27.15.245.77:10000/udp/225.0.4.3:7980
CCTV4-国际,http://123.12.186.252:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://116.179.125.231:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://116.179.93.169:8082/rtp/226.0.2.156:9160
CCTV4-国际,http://116.179.93.169:8082/rtp/226.0.2.21:8080
CCTV4-国际,http://101.204.85.200:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://182.122.120.175:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://139.208.232.162:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://60.223.72.185:8002/rtp/226.0.2.156:9160
CCTV4-国际,http://60.223.72.185:8002/rtp/226.0.2.21:8080
CCTV4-国际,http://27.11.57.209:8002/udp/225.0.4.176:7980
CCTV4-国际,http://27.11.57.209:8002/udp/225.0.4.3:7980
CCTV4-国际,http://183.184.47.157:8001/rtp/226.0.2.156:9160
CCTV4-国际,http://183.184.47.157:8001/rtp/226.0.2.21:8080
CCTV4-国际,http://60.26.12.157:85/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://125.43.241.91:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://27.8.236.98:8001/udp/225.0.4.176:7980
CCTV4-国际,http://27.8.236.98:8001/udp/225.0.4.3:7980
CCTV4-国际,http://183.184.6.224:8001/rtp/226.0.2.156:9160
CCTV4-国际,http://183.184.6.224:8001/rtp/226.0.2.21:8080
CCTV4-国际,http://116.138.241.240:9006/rtp/232.0.0.201:1234
CCTV4-国际,http://116.138.241.240:9006/rtp/232.0.0.53:1234
CCTV4-国际,http://116.138.241.240:9006/rtp/232.0.0.59:1234
CCTV4-国际,http://121.19.134.146:808/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://139.227.221.241:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://27.9.189.66:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://112.226.228.106:22222/udp/239.253.254.111:8000
CCTV4-国际,http://112.226.228.106:22222/udp/239.253.254.186:8000
CCTV4-国际,http://112.226.228.106:22222/udp/239.253.254.187:8000
CCTV4-国际,http://27.11.48.253:8002/udp/225.0.4.176:7980
CCTV4-国际,http://27.11.48.253:8002/udp/225.0.4.3:7980
CCTV4-国际,http://171.127.237.211:8084/rtp/226.0.2.156:9160
CCTV4-国际,http://171.127.237.211:8084/rtp/226.0.2.21:8080
